iter	Passed	Remaining
465	741	850
466	743	848
467	744	845
468	745	844
469	747	842
470	748	840
471	749	838
472	750	836
473	751	834
474	753	832
475	754	830
476	755	828
477	756	826
478	758	824
479	759	822
480	760	820
481	762	819
482	763	817
483	765	816
484	767	814
485	768	812
486	769	810
487	770	808
488	772	806
489	773	804
490	774	802
491	775	800
492	777	799
493	778	797
494	779	795
495	780	793
496	781	791
497	783	789
498	784	787
499	785	785
500	786	783
501	787	781
502	788	779
503	789	777
504	791	776
505	793	774
506	794	772
507	795	770
508	797	768
509	798	766
510	799	764
511	800	762
512	801	761
513	802	759
514	804	757
515	805	755
516	806	753
517	808	751
518	809	750
519	810	748
520	811	746
521	813	744
522	814	742
523	815	740
524	816	739
525	818	737
526	819	735
527	820	733
528	822	731
529	823	730
530	824	728
531	826	726
532	827	725
533	829	723
534	830	722
535	832	720
536	833	718
537	834	716
538	836	715
539	837	713
540	839	712
541	841	710
542	842	709
543	845	708
544	846	706
545	847	704
546	848	702
547	850	701
548	851	699
549	853	698
550	855	697
551	857	695
552	858	694
553	859	692
554	861	690
555	862	688
556	863	686
557	864	684
558	865	683
559	867	681
560	868	679
561	869	677
562	871	676
563	873	675
564	874	673
565	875	671
566	877	669
567	878	668
568	879	666
569	881	664
570	883	663
571	884	662
572	887	661
573	888	659
574	890	658
575	892	656
576	893	655
577	895	653
578	896	651
579	898	650
580	900	649
581	902	648
582	904	647
583	906	645
584	908	644
585	909	642
586	910	640
587	912	639
588	913	637
589	915	635
590	917	634
591	918	633
592	920	631
593	921	629
594	923	628
595	924	626
596	925	624
597	926	622
598	927	621
599	929	619
600	931	618
601	932	616
602	934	615
603	935	613
604	936	611
605	937	609
606	939	608
607	940	606
608	942	605
609	943	603
610	945	601
611	946	600
612	948	598
613	949	597
614	951	595
615	952	594
616	954	592
617	955	590
618	956	588
619	965	591
620	966	590
621	968	588
622	969	586
623	970	584
624	971	583
625	973	581
626	974	579
627	976	578
628	978	577
629	980	575
630	981	573
631	982	572
632	984	570
633	985	568
634	986	566
635	987	565
636	988	563
637	990	561
638	992	560
639	994	559
640	995	557
641	997	556
642	998	554
643	1000	552
644	1001	551
645	1002	549
646	1003	547
647	1004	545
648	1006	544
649	1008	543
650	1010	541
651	1011	540
652	1013	538
653	1014	536
654	1015	535
655	1017	533
656	1018	531
657	1019	529
658	1021	528
659	1023	527
660	1024	525
661	1027	524
662	1028	522
663	1029	521
664	1031	519
665	1032	517
666	1033	515
667	1034	514
668	1035	512
669	1037	511
670	1039	509
671	1040	507
672	1041	506
673	1042	504
674	1043	502
675	1044	500
676	1046	499
677	1047	497
678	1048	495
679	1050	494
680	1052	492
681	1053	491
682	1055	489
683	1056	488
684	1058	486
685	1059	485
686	1060	483
687	1062	481
688	1063	480
689	1065	478
690	1067	477
691	1069	475
692	1070	474
693	1072	472
694	1073	471
695	1075	469
696	1076	468
697	1078	466
698	1080	465
699	1082	464
700	1084	462
701	1085	460
702	1086	459
703	1088	457
704	1089	456
705	1091	454
706	1093	453
707	1094	451
708	1097	450
